ticker,local_pnl,fx_pnl,total_pnl
AAPL,3640.2399999990625,0.0,3640.2399999990625
ADBE,-18638.441808471533,0.0,-18638.441808471533
AMZN,10648.410000020336,0.0,10648.410000020336
ASML,111354.03347951325,0.0,111354.03347951325
AXP,58532.952217253565,0.0,58532.952217253565
AZUL,-9211.079999989955,0.0,-9211.079999989955
BA,138.68000000319358,0.0,138.68000000319358
BABA,13894.679999993677,0.0,13894.679999993677
BOSS,-14163.336399991125,0.0,-14163.336399991125
BRK.B,-887.8350284563213,0.0,-887.8350284563213
CRM,-17114.194347692996,0.0,-17114.194347692996
DUOL,-17935.294999997925,0.0,-17935.294999997925
EFX,-334.2500000000001,0.0,-334.2500000000001
GD,2986.790000002138,0.0,2986.790000002138
GOLD,9645.680000009204,0.0,9645.680000009204
GOOGL,130094.52785685436,0.0,130094.52785685436
JD,14469.019999950528,0.0,14469.019999950528
MC,-335.8314400312604,0.0,-335.8314400312604
MOH,-28362.99591645754,0.0,-28362.99591645754
MSFT,11414.848505864895,0.0,11414.848505864895
NESN,3182.790799991891,0.0,3182.790799991891
PAYC,-3125.571798244685,0.0,-3125.571798244685
QCOM,16.709999996790362,0.0,16.709999996790362
RTX,224.97999996789457,0.0,224.97999996789457
SPGI,-2650.5905078125,0.0,-2650.5905078125
SRTS,-7400.0001907348615,0.0,-7400.0001907348615
UNH,-2153.006854896853,0.0,-2153.006854896853
V,-2516.1918267829674,0.0,-2516.1918267829674
VOO,2286.0281129561317,0.0,2286.0281129561317
