scope,ticker,irr,realized_pnl,unrealized_pnl,total_return,holding_period_days
ticker,AAPL,0.23364701072548855,3640.2399999990625,0.0,3640.2399999990625,790
ticker,ADBE,-0.5624703317940467,0.0,-18638.441808471533,-18638.441808471533,211
ticker,AMZN,4.245935409588368,10648.410000020336,0.0,10648.410000020336,1093
ticker,ASML,1.2670851019530907,24997.4353733184,86356.59810619484,111354.03347951324,372
ticker,AXP,0.37174146708613565,-499.77120000186716,59032.72341725543,58532.952217253565,931
ticker,AZUL,-0.4948648491612263,-9211.079999989955,0.0,-9211.079999989955,2058
ticker,BA,0.003692829234825722,138.68000000319358,0.0,138.68000000319358,1117
ticker,BABA,0.36791928863793244,13894.679999993677,0.0,13894.679999993677,896
ticker,BOSS,-0.31069667880073426,-14163.336399991125,0.0,-14163.336399991125,769
ticker,BRK.B,-0.06997302209740414,0.0,-887.8350284563213,-887.8350284563213,201
ticker,CRM,-0.40644607413624567,0.0,-17114.194347692996,-17114.194347692996,301
ticker,DUOL,-0.8631994662988887,0.0,-17935.294999997925,-17935.294999997925,236
ticker,EFX,-0.1617037993842506,-334.2500000000001,0.0,-334.2500000000001,167
ticker,GD,0.6606220420370135,2986.790000002138,0.0,2986.790000002138,990
ticker,GOLD,0.7108382328647134,9645.680000009204,0.0,9645.680000009204,520
ticker,GOOGL,0.6414867866002858,0.0,130094.52785685436,130094.52785685436,791
ticker,JD,0.2573820134945143,14469.019999950528,0.0,14469.019999950528,1073
ticker,MC,-0.0049992483217552175,39.18119999934271,-375.0126400306031,-335.8314400312604,637
ticker,MOH,-0.4086560742796249,0.0,-28362.99591645754,-28362.99591645754,649
ticker,MSFT,0.3087360353750115,11933.870000005518,-519.0214941406242,11414.848505864893,1114
ticker,NESN,1.0098865431882729,3182.790799991891,0.0,3182.790799991891,494
ticker,PAYC,-0.08275861951841995,0.0,-3125.571798244685,-3125.571798244685,657
ticker,QCOM,0.01350129245145855,16.709999996790362,0.0,16.709999996790362,976
ticker,RTX,0.040147444013844916,224.97999996789457,0.0,224.97999996789457,1009
ticker,SPGI,-0.2484284749003856,0.0,-2650.5905078125,-2650.5905078125,190
ticker,SRTS,-0.21137025106610713,0.0,-7400.0001907348615,-7400.0001907348615,434
ticker,UNH,-0.10992080135897311,0.0,-2153.006854896853,-2153.006854896853,209
ticker,V,-0.13674695135978437,0.0,-2516.1918267829674,-2516.1918267829674,209
ticker,VOO,0.12463834290203463,2109.336218424994,176.6918945311378,2286.0281129561317,668
portfolio,ALL,-0.4641897183280729,73719.36599170002,173982.3838611164,247701.7498528164,2058
