as_of_date,ticker,lot_id,shares_remaining,entry_date,entry_price,current_price,local_unrealized,fx_unrealized,total_unrealized
2026-04-14,MSFT,113,51.0,2026-02-06,395.59,393.1099853515625,-126.48074707031122,0.0,-126.48074707031122
2026-04-14,MSFT,115,38.0,2026-02-18,398.11,393.1099853515625,-190.00055664062552,0.0,-190.00055664062552
2026-04-14,MSFT,116,13.0,2026-03-04,408.69,393.1099853515625,-202.54019042968747,0.0,-202.54019042968747
2026-04-14,AXP,17,195.72649,2023-09-26,150.86,327.0899963378906,34492.87861592817,0.0,34492.87861592817
2026-04-14,AXP,18,33.33,2023-10-02,150.0150015002,327.0899963378906,5901.909577940229,0.0,5901.909577940229
2026-04-14,AXP,19,69.42,2023-10-03,144.0507058485,327.0899963378906,12706.587545773498,0.0,12706.587545773498
2026-04-14,AXP,20,33.42,2023-10-16,149.6110113704,327.0899963378906,5931.347677613537,0.0,5931.347677613537
2026-04-14,GOOGL,29,145.6134,2024-02-13,137.35,332.92999267578125,28479.06770549561,0.0,28479.06770549561
2026-04-14,GOOGL,31,75.34,2024-02-19,132.7316166711,332.92999267578125,15082.945648192686,0.0,15082.945648192686
2026-04-14,GOOGL,32,147.83,2024-02-22,135.290536427,332.92999267578125,29217.040817257333,0.0,29217.040817257333
2026-04-14,GOOGL,61,60.38,2025-03-10,165.6177542233,332.92999267578125,10102.312957760818,0.0,10102.312957760818
2026-04-14,GOOGL,62,61.49,2025-03-18,162.6228655066,332.92999267578125,10472.185249632956,0.0,10472.185249632956
2026-04-14,GOOGL,65,70.0,2025-04-05,144.62,332.92999267578125,13181.699487304688,0.0,13181.699487304688
2026-04-14,GOOGL,72,115.04,2025-05-28,173.8524860918,332.92999267578125,18300.276357421204,0.0,18300.276357421204
2026-04-14,GOOGL,81,50.0,2025-09-04,227.75,332.92999267578125,5258.9996337890625,0.0,5258.9996337890625
2026-04-14,VOO,82,4.32,2025-09-08,597.4490740741,638.3499755859375,176.6918945311378,0.0,176.6918945311378
2026-04-14,PAYC,41,140.85499,2024-06-26,141.99,119.80000305175781,-3125.571798244685,0.0,-3125.571798244685
2026-04-14,MOH,42,34.13202,2024-07-04,292.98,147.63999938964844,-4960.747807632532,0.0,-4960.747807632532
2026-04-14,MOH,49,34.48,2024-10-09,290.0232018561,147.63999938964844,-4909.372821043249,0.0,-4909.372821043249
2026-04-14,MOH,50,34.88,2024-10-14,286.6972477064,147.63999938964844,-4850.316821288295,0.0,-4850.316821288295
2026-04-14,MOH,60,36.0,2025-02-16,270.18,147.63999938964844,-4411.440021972657,0.0,-4411.440021972657
2026-04-14,MOH,73,34.01,2025-06-11,294.0305792414,147.63999938964844,-4978.74362075807,0.0,-4978.74362075807
2026-04-14,MOH,75,38.93,2025-07-02,256.871307475,147.63999938964844,-4252.374823762735,0.0,-4252.374823762735
2026-04-14,MC,84,0.356164,2025-09-10,495.95,485.29998779296875,-3.7931509477050738,0.0,-3.7931509477050738
2026-04-14,MC,93,0.353919,2025-10-10,565.1,485.29998779296875,-28.2427405203003,0.0,-28.2427405203003
2026-04-14,MC,99,0.771923,2025-11-10,614.1,485.29998779296875,-99.4236918228882,0.0,-99.4236918228882
2026-04-14,MC,104,0.326304,2025-12-10,616.1,485.29998779296875,-42.68056718320313,0.0,-42.68056718320313
2026-04-14,MC,106,0.622407,2025-12-26,630.7,485.29998779296875,-90.49798539774173,0.0,-90.49798539774173
2026-04-14,MC,108,0.572734,2026-01-12,646.2,485.29998779296875,-92.15290759138186,0.0,-92.15290759138186
2026-04-14,MC,114,0.37416,2026-02-09,534.0,485.29998779296875,-18.22159656738281,0.0,-18.22159656738281
2026-04-14,SRTS,57,5000.0,2025-02-04,6.02,4.539999961853027,-7400.0001907348615,0.0,-7400.0001907348615
2026-04-14,ASML,68,6.5032,2025-04-16,580.752887,1281.199951171875,4555.14734772254,0.0,4555.14734772254
2026-04-14,ASML,69,19.0,2025-04-22,552.6,1281.199951171875,13843.399072265625,0.0,13843.399072265625
2026-04-14,ASML,70,28.78,2025-04-25,583.6323835997,1281.199951171875,20075.994594727195,0.0,20075.994594727195
2026-04-14,ASML,71,45.3651,2025-05-28,661.3,1281.199951171875,28121.823274907227,0.0,28121.823274907227
2026-04-14,ASML,76,15.1998,2025-07-04,657.9,1281.199951171875,9474.034597822265,0.0,9474.034597822265
2026-04-14,ASML,79,16.0,2025-09-01,638.3125,1281.199951171875,10286.19921875,0.0,10286.19921875
2026-04-14,CRM,74,152.19,2025-06-17,262.8342860898,171.3300018310547,-13926.037021338449,0.0,-13926.037021338449
2026-04-14,CRM,77,19.22,2025-07-15,260.1451612903,171.3300018310547,-1707.0273648066948,0.0,-1707.0273648066948
2026-04-14,CRM,80,21.0,2025-09-04,241.86,171.3300018310547,-1481.129961547852,0.0,-1481.129961547852
2026-04-14,DUOL,78,58.58,2025-08-21,341.4136223967,91.5,-14639.939999998687,0.0,-14639.939999998687
2026-04-14,DUOL,83,18.63,2025-09-09,268.3843263553,91.5,-3295.3549999992388,0.0,-3295.3549999992388
2026-04-14,ADBE,85,20.0,2025-09-15,356.1,235.69000244140625,-2408.1999511718755,0.0,-2408.1999511718755
2026-04-14,ADBE,86,50.0,2025-09-17,355.64,235.69000244140625,-5997.499877929687,0.0,-5997.499877929687
2026-04-14,ADBE,94,15.0,2025-10-15,331.32,235.69000244140625,-1434.4499633789062,0.0,-1434.4499633789062
2026-04-14,ADBE,98,14.8,2025-11-10,328.0202702703,235.69000244140625,-1366.4879638676273,0.0,-1366.4879638676273
2026-04-14,ADBE,100,15.0,2025-11-20,318.5,235.69000244140625,-1242.1499633789062,0.0,-1242.1499633789062
2026-04-14,ADBE,103,14.53,2025-12-10,344.1135581555,235.69000244140625,-1575.3942645257823,0.0,-1575.3942645257823
2026-04-14,ADBE,109,20.0,2026-01-16,303.58,235.69000244140625,-1357.7999511718747,0.0,-1357.7999511718747
2026-04-14,ADBE,110,34.0,2026-01-27,303.6,235.69000244140625,-2308.939916992188,0.0,-2308.939916992188
2026-04-14,ADBE,111,18.0,2026-01-29,288.33,235.69000244140625,-947.5199560546872,0.0,-947.5199560546872
2026-04-14,UNH,87,45.0,2025-09-17,341.47,314.2799987792969,-1223.5500549316419,0.0,-1223.5500549316419
2026-04-14,UNH,89,15.0,2025-09-22,340.47,314.2799987792969,-392.8500183105473,0.0,-392.8500183105473
2026-04-14,UNH,96,15.0,2025-11-03,331.54,314.2799987792969,-258.9000183105472,0.0,-258.9000183105472
2026-04-14,UNH,101,16.0,2025-11-21,321.86,314.2799987792969,-121.28001953125022,0.0,-121.28001953125022
2026-04-14,UNH,105,15.4115,2025-12-10,324.43,314.2799987792969,-156.4267438128663,0.0,-156.4267438128663
2026-04-14,V,88,88.21,2025-09-17,339.9500056683,311.42498779296875,-2516.1918267829674,0.0,-2516.1918267829674
2026-04-14,BRK.B,90,31.0,2025-09-25,494.7,477.5899963378906,-530.4101135253902,0.0,-530.4101135253902
2026-04-14,BRK.B,92,5.39,2025-10-07,499.8126159555,477.5899963378906,-119.77991973891456,0.0,-119.77991973891456
2026-04-14,BRK.B,97,5.0,2025-11-06,492.69,477.5899963378906,-75.50001831054686,0.0,-75.50001831054686
2026-04-14,BRK.B,102,5.0711,2025-12-08,492.99,477.5899963378906,-78.0949585709229,0.0,-78.0949585709229
2026-04-14,BRK.B,107,5.0,2026-01-02,494.4,477.5899963378906,-84.05001831054676,0.0,-84.05001831054676
2026-04-14,SPGI,91,31.0,2025-10-06,479.48,425.239990234375,-1681.4403027343756,0.0,-1681.4403027343756
2026-04-14,SPGI,112,21.0,2026-02-02,471.39,425.239990234375,-969.1502050781247,0.0,-969.1502050781247
